question,category
제과 어디가 좋아?,제과
카페 관련 장소 알려줘,카페
아이스크림/빙수 중에 괜찮은 곳 추천해줘,아이스크림/빙수
"온천, 스파 가고 싶은데 추천 좀","온천, 스파"
워터파크 가고 싶은데 추천 좀,워터파크
테마 제일 만족스러웠던 곳?,테마
제과 추천 부탁해,제과
경양식 근처 어디 있어?,경양식
치킨 제일 만족스러웠던 곳?,치킨
호텔 가고 싶은데 추천 좀,호텔
관광 제일 만족스러웠던 곳?,관광
제과 제휴처 뭐 있어?,제과
제과 중에 괜찮은 곳 추천해줘,제과
테마 관련 제휴 혜택 뭐 있어?,테마
심리 관련 제휴 혜택 뭐 있어?,심리
슈퍼마켓 가고 싶은데 추천 좀,슈퍼마켓
카페 가고 싶은데 추천 좀,카페
미용 할인 받는 데 있어?,미용
"도서, 음반, 문구 제휴처 뭐 있어?","도서, 음반, 문구"
독서실 요즘 인기 있는 곳은?,독서실
이탈리아 음식 중에 깔끔한 곳?,이탈리아 음식
경양식 제휴처 뭐 있어?,경양식
관광 분위기 좋은 곳 있어?,관광
상담 제일 만족스러웠던 곳?,상담
테마파크 중에 깔끔한 곳?,테마
테마 관련 장소 알려줘,테마
자동차 정비소 추천 부탁해,자동차 정비소
카페 분위기 좋은 곳 있어?,카페
경양식 관련 장소 알려줘,경양식
상담 재방문할만한 데 어딘가요?,상담
아이스크림/빙수 관련 장소 알려줘,아이스크림/빙수
쇼핑 요즘 인기 있는 곳은?,쇼핑
워터파크 할인 받는 데 있어?,워터파크
패밀리레스토랑 요즘 인기 있는 곳은?,패밀리레스토랑
미술관 중에 깔끔한 곳?,미술관
제과 할인 받는 데 있어?,제과
카페 어디가 좋아?,카페
주유소 가성비 좋은 데 알려줘,주유소
독서실 분위기 좋은 곳 있어?,독서실
미술관 분위기 좋은 곳 있어?,미술관
경양식 요즘 인기 있는 곳은?,경양식
타이어 소매업 제휴처 뭐 있어?,자동차 정비소
심리 요즘 인기 있는 곳은?,심리
주유소 추천 부탁해,주유소
카페 할인 받는 데 있어?,카페
관광 가고 싶은데 추천 좀,관광
미술관 관련 제휴 혜택 뭐 있어?,미술관
워터파크 제휴처 뭐 있어?,워터파크
카페 제휴처 뭐 있어?,카페
주유소 분위기 좋은 곳 있어?,주유소
미용 어디가 좋아?,미용
이탈리아 음식 할인 받는 데 있어?,이탈리아 음식
타이어 소매업 요즘 인기 있는 곳은?,자동차 정비소
식당 분위기 좋은 곳 있어?,식당
식당 근처 어디 있어?,식당
상담 관련 장소 알려줘,상담
관광 추천 부탁해,관광
"관람, 체험 중에 깔끔한 곳?","관람, 체험"
복합문화 할인 받는 데 있어?,복합문화
미용 가고 싶은데 추천 좀,미용
아이스크림/빙수 분위기 좋은 곳 있어?,아이스크림/빙수
자동차 세차장 가고 싶은데 추천 좀,자동차 정비소
관광 어디가 좋아?,관광
자동차 세차장 제일 만족스러웠던 곳?,자동차 정비소
피자 재방문할만한 데 어딘가요?,피자
학원 어디가 좋아?,학원
테마 재방문할만한 데 어딘가요?,테마
"도서, 음반, 문구 중에 깔끔한 곳?","도서, 음반, 문구"
쇼핑 어디가 좋아?,쇼핑
루지 할인 받는 데 있어?,루지
워터파크 재방문할만한 데 어딘가요?,워터파크
루지 요즘 인기 있는 곳은?,루지
호텔 할인 받는 데 있어?,호텔
슈퍼마켓 요즘 인기 있는 곳은?,슈퍼마켓
패밀리레스토랑 어디가 좋아?,패밀리레스토랑
전시관 제일 만족스러웠던 곳?,전시관
심리 가성비 좋은 데 알려줘,심리
피자 가성비 좋은 데 알려줘,피자
심리 중에 깔끔한 곳?,심리
피자 추천 부탁해,피자
타이어 소매업 가성비 좋은 데 알려줘,자동차 정비소
주유소 관련 제휴 혜택 뭐 있어?,주유소
미용 중에 괜찮은 곳 추천해줘,미용
영화관 근처 어디 있어?,영화관
"온천, 스파 제휴처 뭐 있어?","온천, 스파"
자동차 정비소 가고 싶은데 추천 좀,자동차 정비소
복합문화 중에 깔끔한 곳?,복합문화
카페 재방문할만한 데 어딘가요?,카페
워터파크 어디가 좋아?,워터파크
쇼핑 근처 어디 있어?,쇼핑
학원 중에 괜찮은 곳 추천해줘,학원
독서실 제일 만족스러웠던 곳?,독서실
슈퍼마켓 근처 어디 있어?,슈퍼마켓
피자 관련 제휴 혜택 뭐 있어?,피자
영화관 제휴처 뭐 있어?,영화관
심리 어디가 좋아?,심리
"키즈카페, 실내놀이터 가고 싶은데 추천 좀","키즈카페, 실내놀이터"
영화관 관련 장소 알려줘,영화관
전시관 가성비 좋은 데 알려줘,전시관
루지 관련 장소 알려줘,루지
영화관 추천 부탁해,영화관
워터파크 근처 어디 있어?,워터파크
복합문화 중에 괜찮은 곳 추천해줘,복합문화
관광 가성비 좋은 데 알려줘,관광
슈퍼마켓 관련 제휴 혜택 뭐 있어?,슈퍼마켓
피자 요즘 인기 있는 곳은?,피자
테마 제휴처 뭐 있어?,테마
테마 요즘 인기 있는 곳은?,테마
주유소 할인 받는 데 있어?,주유소
슈퍼마켓 어디가 좋아?,슈퍼마켓
루지 제일 만족스러웠던 곳?,루지
상담 추천 부탁해,상담
전시관 요즘 인기 있는 곳은?,전시관
패밀리레스토랑 제일 만족스러웠던 곳?,패밀리레스토랑
버거 가성비 좋은 데 알려줘,버거
심리 가고 싶은데 추천 좀,심리
"도서, 음반, 문구 가고 싶은데 추천 좀","도서, 음반, 문구"
전시관 중에 괜찮은 곳 추천해줘,전시관
타이어 소매업 제일 만족스러웠던 곳?,자동차 정비소
자동차 세차장 할인 받는 데 있어?,자동차 정비소
편의점 어디가 좋아?,편의점
버거 할인 받는 데 있어?,버거
푸드코트 가고 싶은데 추천 좀,푸드코트
심리 추천 부탁해,심리
치킨 근처 어디 있어?,치킨
미용 근처 어디 있어?,미용
"키즈카페, 실내놀이터 분위기 좋은 곳 있어?","키즈카페, 실내놀이터"
미용 분위기 좋은 곳 있어?,미용
루지 가성비 좋은 데 알려줘,루지
타이어 소매업 재방문할만한 데 어딘가요?,자동차 정비소
자동차 정비소 제일 만족스러웠던 곳?,자동차 정비소
식당 중에 괜찮은 곳 추천해줘,식당
루지 어디가 좋아?,루지
치킨 가고 싶은데 추천 좀,치킨
심리 근처 어디 있어?,심리
제과 관련 장소 알려줘,제과
테마파크 가고 싶은데 추천 좀,테마
테마파크 요즘 인기 있는 곳은?,테마
쇼핑 제휴처 뭐 있어?,쇼핑
워터파크 중에 괜찮은 곳 추천해줘,워터파크
독서실 가고 싶은데 추천 좀,독서실
이탈리아 음식 요즘 인기 있는 곳은?,이탈리아 음식
이탈리아 음식 어디가 좋아?,이탈리아 음식
학원 재방문할만한 데 어딘가요?,학원
학원 가성비 좋은 데 알려줘,학원
학원 제일 만족스러웠던 곳?,학원
버거 가고 싶은데 추천 좀,버거
식당 어디가 좋아?,식당
카페 제일 만족스러웠던 곳?,카페
쇼핑 중에 괜찮은 곳 추천해줘,쇼핑
푸드코트 가성비 좋은 데 알려줘,푸드코트
전시관 어디가 좋아?,전시관
테마 중에 깔끔한 곳?,테마
복합문화 분위기 좋은 곳 있어?,복합문화
슈퍼마켓 중에 괜찮은 곳 추천해줘,슈퍼마켓
편의점 재방문할만한 데 어딘가요?,편의점
상담 분위기 좋은 곳 있어?,상담
쇼핑 가고 싶은데 추천 좀,쇼핑
버거 분위기 좋은 곳 있어?,버거
슈퍼마켓 재방문할만한 데 어딘가요?,슈퍼마켓
미용 재방문할만한 데 어딘가요?,미용
호텔 추천 부탁해,호텔
쇼핑 중에 깔끔한 곳?,쇼핑
호텔 제휴처 뭐 있어?,호텔
테마파크 관련 장소 알려줘,테마
이탈리아 음식 분위기 좋은 곳 있어?,이탈리아 음식
편의점 요즘 인기 있는 곳은?,편의점
피자 제휴처 뭐 있어?,피자
워터파크 관련 장소 알려줘,워터파크
아이스크림/빙수 할인 받는 데 있어?,아이스크림/빙수
경양식 추천 부탁해,경양식
영화관 할인 받는 데 있어?,영화관
자동차 세차장 관련 장소 알려줘,자동차 정비소
미용 관련 제휴 혜택 뭐 있어?,미용
식당 제휴처 뭐 있어?,식당
패밀리레스토랑 재방문할만한 데 어딘가요?,패밀리레스토랑
제과 재방문할만한 데 어딘가요?,제과
자동차 정비소 제휴처 뭐 있어?,자동차 정비소
이탈리아 음식 관련 제휴 혜택 뭐 있어?,이탈리아 음식
상담 요즘 인기 있는 곳은?,상담
푸드코트 관련 장소 알려줘,푸드코트
미술관 가성비 좋은 데 알려줘,미술관
루지 재방문할만한 데 어딘가요?,루지
식당 요즘 인기 있는 곳은?,식당
편의점 중에 괜찮은 곳 추천해줘,편의점
"도서, 음반, 문구 어디가 좋아?","도서, 음반, 문구"
복합문화 가고 싶은데 추천 좀,복합문화
버거 제일 만족스러웠던 곳?,버거
치킨 할인 받는 데 있어?,치킨
"온천, 스파 중에 괜찮은 곳 추천해줘","온천, 스파"
"관람, 체험 할인 받는 데 있어?","관람, 체험"
이탈리아 음식 제일 만족스러웠던 곳?,이탈리아 음식
편의점 제휴처 뭐 있어?,편의점
아이스크림/빙수 근처 어디 있어?,아이스크림/빙수
경양식 어디가 좋아?,경양식
워터파크 제일 만족스러웠던 곳?,워터파크
"관람, 체험 가성비 좋은 데 알려줘","관람, 체험"
루지 추천 부탁해,루지
호텔 중에 괜찮은 곳 추천해줘,호텔
푸드코트 중에 깔끔한 곳?,푸드코트
"관람, 체험 재방문할만한 데 어딘가요?","관람, 체험"
"키즈카페, 실내놀이터 재방문할만한 데 어딘가요?","키즈카페, 실내놀이터"
"키즈카페, 실내놀이터 어디가 좋아?","키즈카페, 실내놀이터"
피자 중에 깔끔한 곳?,피자
치킨 관련 장소 알려줘,치킨
미술관 제휴처 뭐 있어?,미술관
자동차 정비소 중에 괜찮은 곳 추천해줘,자동차 정비소
